rank,nome,prov,pop,ele_m,score,salute,mobilita,istruzione,quotidiano,rischio,vitalita,m_er,m_pharm,m_doc,m_vet,m_rail,m_mjunc,m_kinder,m_school,m_upper,m_super,m_post,n_retail5,flood_p3,flood_p2,land_p34,oldindex,pct65,age_mean,pop_trend,tour_units,tour_p1000,income,coast,sea_km,beach_km,lat,lon,istat
299,Morfasso,PC,849,553.0,74.4,69.0,69.3,83.3,77.9,63.6,66.1,35.7,23.2,4.6,68.1,48.7,53.2,23.2,4.1,47.7,23.4,4.6,4,1.27,1.27,50.68,691.0,47.2,58.0,-11.75,0,0.0,16400.0,0,198.3,173.1,44.7301715,9.7268115,033028
300,Bore,PR,628,622.0,74.1,67.9,70.8,76.4,83.3,72.0,52.2,58.6,17.5,25.9,66.3,46.2,51.9,23.5,17.3,44.8,18.0,6.3,1,0.12,0.12,41.86,1283.0,47.0,59.6,-10.92,1,1.6,17544.0,0,190.8,166.0,44.7187721,9.8218242,034005
301,Verghereto,FC,1731,1092.0,74.0,68.5,73.8,69.9,86.2,68.8,87.3,57.1,11.1,51.8,40.7,60.7,12.0,37.6,10.6,61.2,12.2,11.0,14,0.51,0.51,45.32,330.0,33.2,50.3,-5.05,15,8.7,18002.0,0,51.4,41.7,43.8064457,12.050702,040050
302,Sestola,MO,2428,773.0,73.7,74.4,58.0,77.0,94.3,81.0,91.1,11.4,11.0,33.7,70.5,46.5,82.1,46.1,6.0,28.9,9.3,4.4,5,0.5,1.19,30.9,378.0,32.7,51.7,-2.1,15,6.2,20979.0,0,122.5,103.9,44.2447207,10.7857295,036043
303,Villa Minozzo,RE,3520,1170.0,73.4,89.3,72.8,55.8,84.5,83.0,89.4,35.9,7.7,7.7,36.8,49.5,41.4,45.9,23.9,85.8,3.1,16.6,2,0.44,0.54,28.26,352.0,33.1,51.4,-3.59,12,3.4,20283.0,0,149.5,137.5,44.3159492,10.4320403,035045
304,Montefiorino,MO,2122,823.0,73.3,78.1,59.4,71.0,92.2,87.1,94.4,48.0,9.6,30.9,44.0,73.0,44.5,38.5,13.7,52.1,9.5,6.5,5,0.8,1.06,22.4,342.0,33.3,51.3,-0.75,0,0.0,22988.0,0,136.8,125.7,44.3387304,10.5878735,036025
305,Fiumalbo,MO,1191,1274.0,73.1,87.1,68.9,65.3,75.0,72.1,93.5,32.9,4.7,7.5,54.7,47.6,55.5,48.0,5.5,64.4,36.2,4.7,10,1.99,2.3,41.36,303.0,31.8,50.8,-2.06,6,5.0,18119.0,0,135.1,114.0,44.1604662,10.6574719,036014
306,Portico e San Benedetto,FC,742,571.0,73.0,77.5,77.4,64.3,74.5,82.4,95.7,60.2,11.2,25.4,38.1,25.2,54.4,25.3,24.1,65.1,24.0,7.9,2,2.6,6.5,28.44,272.0,31.1,49.1,-1.33,7,9.4,17754.0,0,58.5,35.3,44.0036839,11.7221207,040031
307,Pievepelago,MO,2149,1245.0,72.8,77.1,80.8,63.3,72.2,84.1,84.3,39.0,16.3,25.2,43.9,32.7,39.2,36.9,16.3,73.0,18.8,16.4,0,1.07,8.17,26.56,275.0,27.5,48.6,-7.25,7,3.3,18838.0,0,141.1,120.8,44.1779456,10.5715813,036031
308,Toano,RE,4151,773.0,72.2,78.3,65.1,63.5,87.2,71.9,90.2,33.8,16.4,32.2,28.6,68.9,29.1,23.4,26.5,62.2,16.4,3.7,2,1.8,2.38,41.67,254.0,27.5,48.0,-4.64,2,0.5,22099.0,0,138.5,125.7,44.3818509,10.5478805,035041
309,Bettola,PC,2625,502.0,71.0,74.8,58.3,88.6,68.9,79.4,86.8,23.5,17.7,22.4,60.9,62.7,67.7,22.6,2.4,34.9,20.4,17.7,0,6.17,6.27,31.4,449.0,34.6,52.5,-3.31,2,0.8,20994.0,0,208.9,182.8,44.7788666,9.5909173,033004
310,Casteldelci,RN,354,606.0,70.5,73.0,67.1,67.2,75.6,71.5,79.9,44.4,12.2,44.2,40.8,67.2,24.6,40.8,12.1,63.4,27.8,3.2,7,1.35,1.57,42.16,424.0,34.7,52.1,-7.57,1,2.8,15753.0,0,48.2,44.5,43.7820527,12.1480261,099021
